NP_ID,mod_type,mod_charge,np_type,np_subtype,size_nm,zp_mv,zp_charge,zp_solvent,hd_solvent,incub_time,agitation,washing_steps
NP1,No Modification,No Modification,Inorganic,Silica,101,-15,Negative,PBS,PBS,30~60,Y,4~6
NP2,No Modification,No Modification,Inorganic,Silica,165,-12,Negative,PBS,PBS,30~60,Y,4~6
NP3,Amines,Positive,Inorganic,Silica,100,-11,Negative,PBS,PBS,30~60,Y,4~6
NP4,Amines,Positive,Inorganic,Silica,192,-7,Neutral,PBS,PBS,30~60,Y,4~6
NP5,Carboxylic Acids,Negative,Inorganic,Silica,105,-15,Negative,PBS,PBS,30~60,Y,4~6
NP6,Carboxylic Acids,Negative,Inorganic,Silica,203,-13,Negative,PBS,PBS,30~60,Y,4~6
NP7,No Modification,No Modification,Organic,Lipid,193.4,39.9,Positive,DI-H2O,DI-H2O,30~60,N,1~3
NP8,No Modification,No Modification,Organic,Lipid,209.9,32.5,Positive,DI-H2O,DI-H2O,30~60,N,1~3
NP9,No Modification,No Modification,Organic,Lipid,470.3,31.1,Positive,DI-H2O,DI-H2O,30~60,N,1~3
NP10,No Modification,No Modification,Organic,Lipid,254.6,29.7,Positive,DI-H2O,DI-H2O,30~60,N,1~3
NP11,No Modification,No Modification,Organic,Lipid,191,-7.6,Neutral,DI-H2O,DI-H2O,30~60,N,1~3
NP12,Carboxylic Acids,Negative,Inorganic,Silica,94.1,-29.83,Negative,PBS,PBS,30~60,Y,1~3
NP13,Carboxylic Acids,Negative,Inorganic,Silica,343.9,-17.03,Negative,PBS,PBS,30~60,Y,1~3
NP14,Carboxylic Acids,Negative,Inorganic,Silica,749.2,-12.79,Negative,PBS,PBS,30~60,Y,1~3
NP15,No Modification,No Modification,Organic,Niosome,87.5,-22.8089,Negative,HEPES,HEPES,30~60,N,1~3
NP16,No Modification,No Modification,Organic,Niosome,109.26,-20.337,Negative,HEPES,HEPES,30~60,N,1~3
NP17,No Modification,No Modification,Organic,Niosome,44.82,-20.224,Negative,HEPES,HEPES,30~60,N,1~3
NP18,No Modification,No Modification,Organic,Niosome,88.95,-20.337,Negative,HEPES,HEPES,30~60,N,1~3
NP19,No Modification,No Modification,Organic,Niosome,123.277,-23.82,Negative,HEPES,HEPES,30~60,N,1~3
NP20,No Modification,No Modification,Organic,Niosome,149.88,-25.95505,Negative,HEPES,HEPES,30~60,N,1~3
NP21,No Modification,No Modification,Organic,Niosome,90.35,-26.5168,Negative,HEPES,HEPES,30~60,N,1~3
NP22,No Modification,No Modification,Organic,Niosome,126.77,-26.3774,Negative,HEPES,HEPES,30~60,N,1~3
NP23,No Modification,No Modification,Inorganic,Silica,47,-40,Negative,DI-H2O,DI-H2O,30~60,Y,1~3
NP24,No Modification,No Modification,Inorganic,Silica,47,-40,Negative,DI-H2O,DI-H2O,30~60,Y,1~3
NP25,No Modification,No Modification,Inorganic,Silica,35.8,-40,Negative,DI-H2O,PBS,30~60,Y,1~3
NP26,No Modification,No Modification,Inorganic,Silica,35.8,-40,Negative,DI-H2O,PBS,30~60,Y,1~3
NP27,Polymeric,Neutral,Inorganic,Metal Oxide,166,-12.8,Negative,DI-H2O,DI-H2O,30~60,Y,1~3
NP28,Peptide,Neutral,Inorganic,Metal Oxide,169,-17.3,Negative,DI-H2O,DI-H2O,30~60,Y,1~3
NP29,No Modification,No Modification,Organic,Lipid,136,-25.6,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP30,No Modification,No Modification,Inorganic,Silica,390,-22.4,Negative,DI-H2O,DI-H2O,30~60,N,1~3
NP31,Polymeric,Neutral,Organic,Polystyrene,80.77,2.11,Neutral,PBS,PBS,30~60,Y,1~3
NP32,Peptide,Positive,Organic,Polystyrene,89.5,16.2,Positive,PBS,PBS,30~60,Y,1~3
NP33,Amino Acid,Positive,Organic,Polystyrene,83.61,17.1,Positive,PBS,PBS,30~60,Y,1~3
NP34,Peptide,Negative,Organic,Polystyrene,92.47,1.25,Neutral,PBS,PBS,30~60,Y,1~3
NP35,Lipid,Neutral,Organic,Lipid,109.2,-24,Negative,DI-H2O,DI-H2O,<30,N,1~3
NP36,Lipid,Neutral,Organic,Lipid,102.5,-23.9,Negative,DI-H2O,DI-H2O,<30,N,1~3
NP37,Lipid,Neutral,Organic,Lipid,106,-23.5,Negative,DI-H2O,DI-H2O,<30,N,1~3
NP38,Lipid,Neutral,Organic,Lipid,171.2,-16.8,Negative,DI-H2O,DI-H2O,<30,N,1~3
NP39,Lipid,Neutral,Organic,Lipid,174.1,-16.9,Negative,DI-H2O,DI-H2O,<30,N,1~3
NP40,Lipid,Neutral,Organic,Lipid,155.8,-10.6,Negative,DI-H2O,DI-H2O,<30,N,1~3
NP41,Lipid,Neutral,Organic,Lipid,250,-14,Negative,Human Plasma,Human Plasma,<30,N,1~3
NP42,Lipid,Neutral,Organic,Lipid,450,-14,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP43,Lipid,Neutral,Organic,Lipid,470,-12,Negative,Human Plasma,Human Plasma,30~60,N,1~3
NP44,Polymeric,Neutral,Inorganic,Metal,39.7,63.1,Positive,DI-H2O,Not Reported,>60,Y,Not Reported
NP45,Polymeric,Neutral,Inorganic,Metal,82.3,69.3,Positive,DI-H2O,Not Reported,>60,Y,Not Reported
NP46,Alkylthiols,Positive,Inorganic,Metal,40.2,-73.3,Negative,DI-H2O,Not Reported,>60,Y,Not Reported
NP47,Alkylthiols,Positive,Inorganic,Metal,81.8,-43.9,Negative,DI-H2O,Not Reported,>60,Y,Not Reported
NP48,Polymeric,Neutral,Inorganic,Metal,41.5,-10.8,Negative,DI-H2O,Not Reported,>60,Y,Not Reported
NP49,Polymeric,Neutral,Inorganic,Metal,81.7,-12.8,Negative,DI-H2O,Not Reported,30~60,Y,Not Reported
NP50,Polymeric,Negative,Organic,Other,244.5,-43.4,Negative,PBS,PBS,30~60,N,1~3
NP51,Polymeric,Negative,Organic,Other,255.5,-43.4,Negative,PBS,PBS,30~60,N,1~3
NP52,No Modification,No Modification,Inorganic,Silica,205,-25.2,Negative,PBS,PBS,30~60,N,1~3
NP53,No Modification,No Modification,Inorganic,Silica,205,-25.2,Negative,PBS,PBS,30~60,N,1~3
NP54,No Modification,No Modification,Inorganic,Metal Oxide,30,-29.9,Negative,Not Reported,Not Reported,30~60,Y,1~3
NP55,No Modification,No Modification,Inorganic,Metal Oxide,225,-23.4,Negative,Not Reported,Not Reported,30~60,Y,1~3
NP56,No Modification,No Modification,Inorganic,Metal Oxide,375,-24.3,Negative,Not Reported,Not Reported,30~60,Y,1~3
NP57,No Modification,No Modification,Inorganic,Silica,20,-30,Negative,NaCl,Not Reported,30~60,Y,4~6
NP58,Carboxylic Acids,Negative,Inorganic,Silica,20,-29,Negative,NaCl,Not Reported,30~60,Y,4~6
NP59,Small Hydrocarbons,Neutral,Inorganic,Silica,20,-18,Negative,NaCl,Not Reported,30~60,Y,4~6
NP60,Small Hydrocarbons,Neutral,Inorganic,Silica,20,-15,Negative,NaCl,Not Reported,30~60,Y,4~6
NP61,Amines,Positive,Inorganic,Silica,20,2,Neutral,NaCl,Not Reported,30~60,Y,4~6
NP62,No Modification,No Modification,Inorganic,Silica,20,-30,Negative,NaCl,Not Reported,30~60,Y,4~6
NP63,Carboxylic Acids,Negative,Inorganic,Silica,20,-29,Negative,NaCl,Not Reported,30~60,Y,4~6
NP64,Small Hydrocarbons,Neutral,Inorganic,Silica,20,-18,Negative,NaCl,Not Reported,30~60,Y,4~6
NP65,Small Hydrocarbons,Neutral,Inorganic,Silica,20,-15,Negative,NaCl,Not Reported,30~60,Y,4~6
NP66,Amines,Positive,Inorganic,Silica,20,2,Neutral,NaCl,Not Reported,30~60,Y,4~6
NP67,Surfactants,Neutral,Organic,Polystyrene,60,-8,Neutral,KCl,Not Reported,30~60,Y,1~3
NP68,Surfactants,Neutral,Organic,Polystyrene,60,-8,Neutral,KCl,Not Reported,30~60,Y,1~3
NP69,Surfactants,Neutral,Organic,Polystyrene,60,-8,Neutral,KCl,Not Reported,30~60,Y,1~3
NP70,Surfactants,Neutral,Organic,Polystyrene,60,-8,Neutral,KCl,Not Reported,30~60,Y,1~3
NP71,Surfactants,Neutral,Organic,Polystyrene,60,-8,Neutral,KCl,Not Reported,30~60,Y,1~3
NP72,Polymeric,Neutral,Organic,Polystyrene,57,13,Positive,KCl,Not Reported,30~60,Y,1~3
NP73,Polymeric,Neutral,Organic,Polystyrene,57,13,Positive,KCl,Not Reported,30~60,Y,1~3
