accession,protein_name,category
P02768,Albumin,Transport/Binding
P01834,Immunoglobulin kappa constant,Immunoglobulins
P04004,Vitronectin,Transport/Binding
P02647,Apolipoprotein A-I,Apolipoproteins
P02649,Apolipoprotein E,Apolipoproteins
P01008,Antithrombin-III,Coagulation/Fibrinogen
P01857,Immunoglobulin heavy constant gamma 1,Immunoglobulins
P02656,Apolipoprotein C-III,Apolipoproteins
P10909,Clusterin,Transport/Binding
P00734,Prothrombin,Coagulation/Fibrinogen
P02675,Fibrinogen beta chain,Coagulation/Fibrinogen
P04196,Histidine-rich glycoprotein,Transport/Binding
P02679,Fibrinogen gamma chain,Coagulation/Fibrinogen
P02652,Apolipoprotein A-II,Apolipoproteins
P01042,Kininogen-1,Protease/Inhibitors
P01024,Complement C3,Complement System
P02671,Fibrinogen alpha chain,Coagulation/Fibrinogen
P01871,Immunoglobulin heavy constant mu,Immunoglobulins
P01009,Alpha-1-antitrypsin,Protease/Inhibitors
P04003,C4b-binding protein alpha chain,Complement System
P0DOY2,Immunoglobulin lambda constant 2,Immunoglobulins
P02655,Apolipoprotein C-II,Apolipoproteins
P02766,Transthyretin,Transport/Binding
P19823,Inter-alpha-trypsin inhibitor heavy chain H2,Protease/Inhibitors
P0DOY3,Immunoglobulin lambda constant 3,Immunoglobulins
P01876,Immunoglobulin heavy constant alpha 1,Immunoglobulins
P35542,Serum amyloid A-4 protein,Other/Mixed
P01859,Immunoglobulin heavy constant gamma 2,Immunoglobulins
P06727,Apolipoprotein A-IV,Apolipoproteins
P68871,Hemoglobin subunit beta,Other/Mixed
P0C0L5,Complement C4-B,Complement System
P02654,Apolipoprotein C-I,Apolipoproteins
Q14520,Factor VII-activating protease,Protease/Inhibitors
P02743,Serum amyloid P-component,Other/Mixed
P01619,Immunoglobulin kappa variable 3-20,Immunoglobulins
B9A064,Immunoglobulin lambda-like polypeptide 5,Immunoglobulins
P69905,Hemoglobin subunit alpha,Other/Mixed
P19827,Inter-alpha-trypsin inhibitor heavy chain H1,Protease/Inhibitors
P04114,Apolipoprotein B-100,Apolipoproteins
P03951,Coagulation factor XI,Coagulation/Fibrinogen
