Variant,Model,Seed,Best_epoch,Best_dev_score,Median_r,1-TVD,Cosine,Adsorption_F1,Adsorption_AUROC,Adsorption_AUPRC
abundance_only,Abundance-only,42,37,0.5772378505967126,0.5526665458068376,0.6051212550695995,0.7593598281330034,,,
abundance_only,Abundance-only,52,49,0.582952653735207,0.6112712662945662,0.6286557892242604,0.78610851000314,,,
abundance_only,Abundance-only,62,65,0.6384138284548,0.6682239894944139,0.6415620700448944,0.7919203347977773,,,
abundance_only,Abundance-only,72,30,0.5964617730823203,0.541653600310485,0.5976814728956563,0.744719024256869,,,
abundance_only,Abundance-only,82,37,0.6404227994621079,0.6263786024214921,0.6228797033695076,0.7854978066566363,,,
two_head_no_gate,Two-head without gating,42,100,0.7450161161254227,0.6069435685629442,0.6279107645098709,0.7634280124946032,0.7420150122114336,0.910405335224626,0.8444571201916059
two_head_no_gate,Two-head without gating,52,63,0.7201588452292547,0.6278051328665489,0.6367526360581635,0.7795440384184437,0.7376743806726569,0.9176693551804227,0.8450818612460472
two_head_no_gate,Two-head without gating,62,73,0.7882450550785882,0.6706041117612345,0.6466157906673642,0.7911530301076696,0.7619343139938972,0.9321071589298755,0.8746478770459708
two_head_no_gate,Two-head without gating,72,48,0.7434248982099427,0.5913943850665554,0.6159553928930611,0.7670367203724823,0.7092007904331221,0.9069815259244215,0.8270702131586479
two_head_no_gate,Two-head without gating,82,94,0.7882201449301007,0.6605004439376828,0.6486030251504553,0.792172358450357,0.769495270855732,0.9324160849770501,0.8785925918577665
two_head_gated,Two-head with gating,42,90,0.7433997772559919,0.6004608628307051,0.6231473733747959,0.757829794313104,0.7344531788159386,0.9059326651801001,0.8369524652785311
two_head_gated,Two-head with gating,52,61,0.7233918243063434,0.6227216325111044,0.6412450082349258,0.7844018289568991,0.7389088196377906,0.9189532643020359,0.8509295162987998
two_head_gated,Two-head with gating,62,73,0.7930055438268944,0.6802641746983884,0.6621786832133406,0.796078637751253,0.7650436642686582,0.9310584411697496,0.8761862049353484
two_head_gated,Two-head with gating,72,46,0.7455726196725045,0.5996198143930858,0.6239403989938607,0.7655135407487377,0.725959758918333,0.9094115306873137,0.8236314470484541
two_head_gated,Two-head with gating,82,89,0.7936972687061339,0.6816210326101126,0.6616210867949507,0.8036232157043223,0.774553072445595,0.9348252491413709,0.8841783428940755
