Protein,Training_mean_abundance,Abundance_tertile,Pearson_r,Category
P02768,0.056902715597707154,High,0.7677770561567059,Transport/Binding
P01834,0.05538870135692392,High,0.7653878157599635,Immunoglobulins
P04004,0.03963645226127477,High,0.608988636435333,Transport/Binding
P02647,0.0410242101125425,High,0.549175360927977,Apolipoproteins
P02649,0.03790974847227629,High,0.49838401680200106,Apolipoproteins
P01008,0.03464295580639884,High,0.6709452481448951,Coagulation/Fibrinogen
P01857,0.027288494266427123,High,0.6793935960156066,Immunoglobulins
P02656,0.027688799623535116,High,0.6442510700458146,Apolipoproteins
P10909,0.02540941017001209,High,0.8086456490318642,Transport/Binding
P00734,0.02579804230494584,High,0.7042104746769828,Coagulation/Fibrinogen
P02675,0.024724306688443477,High,0.7189201440404193,Coagulation/Fibrinogen
P04196,0.02287729160235137,High,0.7921661145897116,Transport/Binding
P02679,0.025423055916202177,High,0.6215463629075256,Coagulation/Fibrinogen
P02652,0.022442245540100412,High,0.6672825123807871,Apolipoproteins
P01042,0.020051378866359965,High,0.5694417372216667,Protease/Inhibitors
P01024,0.021544078357715296,High,0.7190641047176328,Complement System
P02671,0.02162004283926639,High,0.466765761389533,Coagulation/Fibrinogen
P01871,0.019851944758189542,High,0.8808028277469813,Immunoglobulins
P01009,0.011078622422174826,High,0.6172737904052497,Protease/Inhibitors
P04003,0.01094144764054604,High,0.49160290078874685,Complement System
P0DOY2,0.011138285664850346,High,0.7835253424602594,Immunoglobulins
P02655,0.010632233727121177,High,0.8013632536160142,Apolipoproteins
P02766,0.00945793511584689,High,0.6315541849877427,Transport/Binding
P19823,0.00956577434555142,High,0.36677143027169545,Protease/Inhibitors
P0DOY3,0.008396838643303147,High,0.5962217977228372,Immunoglobulins
P01876,0.007957810503250716,High,0.6895425027792099,Immunoglobulins
P35542,0.008090260547622694,High,0.610435214037023,Other/Mixed
P01859,0.008877591151615226,High,0.3014181389767651,Immunoglobulins
P06727,0.009212076205252806,High,0.43469195638454916,Apolipoproteins
P68871,0.008389407163334398,High,0.5505357695882569,Other/Mixed
P0C0L5,0.008820096380949499,High,0.38880838491565994,Complement System
P02654,0.008481499079082562,High,0.4589071759831593,Apolipoproteins
Q14520,0.006883369982518244,High,0.8778685630945391,Protease/Inhibitors
P02743,0.006392381194695626,High,0.5896474613586586,Other/Mixed
P01619,0.007694036393162496,High,0.5365975484643126,Immunoglobulins
B9A064,0.006373387864241464,High,0.6337506855318304,Immunoglobulins
P69905,0.00664652671594443,High,0.3496416122200905,Other/Mixed
P19827,0.006681213683050689,High,0.28111618192482596,Protease/Inhibitors
