,np_subtype,zp_solvent,hd_solvent,mod_type,mod_charge,np_type,zp_charge,incub_time,zp_mv,agitation,washing_steps,size_nm
P02768,0.076660804,0.05545969,0.07519641,0.034808673,0.032025717,0.0323325,0.015488436,0.04245367,0.0371864,0.03362527,0.024980472,0.028964434
P01834,0.06195528,0.04057428,0.034440108,0.022760354,0.022137616,0.01688972,0.024322763,0.018991742,0.02473481,0.025263404,0.021264298,0.018237844
P04004,0.040171556,0.0362051,0.022573926,0.016973862,0.015241051,0.012782529,0.0099125635,0.034512155,0.027895201,0.011936426,0.00922654,0.014062998
P02647,0.034327693,0.026304495,0.014435818,0.013365704,0.012651376,0.0055385544,0.010787273,0.018613007,0.01099966,0.01008481,0.011282859,0.009052611
P02649,0.05483521,0.018799577,0.014206508,0.0139596965,0.011896941,0.009165212,0.008037431,0.020746939,0.013411428,0.013133484,0.010606384,0.007404619
P01008,0.092135996,0.055820324,0.04623781,0.034606688,0.03480591,0.066725194,0.04703098,0.06932708,0.0433293,0.03233709,0.03373206,0.020881856
P01857,0.036582083,0.027358279,0.021751102,0.014197661,0.01570176,0.033840977,0.029979587,0.027141675,0.021485312,0.014519173,0.027876506,0.013187436
P02656,0.09601539,0.06543713,0.049789697,0.02909689,0.0642379,0.039556734,0.05448879,0.026398042,0.027395824,0.0140718995,0.026713008,0.021342115
P10909,0.044633288,0.03266123,0.030983215,0.017458204,0.024272207,0.027282972,0.016167475,0.034910142,0.0305889,0.012593532,0.00874836,0.015870837
P00734,0.084878445,0.054706424,0.033404298,0.034994822,0.03993642,0.019712431,0.01252046,0.067741245,0.07691853,0.021393932,0.021641145,0.022628175
P02675,0.11617516,0.065428935,0.08209376,0.043574147,0.028259361,0.015224671,0.017021826,0.028200245,0.052640736,0.028059686,0.057284307,0.028698131
P04196,0.09414439,0.025758574,0.028416853,0.043471955,0.034306798,0.08929114,0.059926916,0.040624462,0.024473913,0.01845138,0.017493669,0.023061063
P02679,0.10257244,0.06351898,0.076855406,0.04255585,0.027533287,0.018155517,0.018460521,0.032721322,0.049681596,0.044130318,0.04573163,0.022509478
P02652,0.10951676,0.06480509,0.046337653,0.031685475,0.03332404,0.015348052,0.025712278,0.0435492,0.021103872,0.016360369,0.014451636,0.02049431
P01042,0.09928893,0.05556848,0.041444093,0.06575427,0.069259405,0.07850459,0.050312508,0.04344571,0.03037504,0.02003681,0.02189458,0.01652958
P01024,0.020334698,0.013094841,0.014135768,0.008313475,0.006145125,0.014815037,0.0080903545,0.011879453,0.009538762,0.0092636105,0.0029427407,0.00520553
P02671,0.08084321,0.08071186,0.07882356,0.06491374,0.029513206,0.026138425,0.032051004,0.011277045,0.040290765,0.04608909,0.042860724,0.022797106
P01871,0.038877618,0.026659515,0.024906436,0.02351194,0.02189717,0.014971596,0.015866784,0.017646967,0.01289734,0.0077769244,0.01069464,0.016807903
P01009,0.07232918,0.0529883,0.049473017,0.03303867,0.031010872,0.059589375,0.034358554,0.046512447,0.03329391,0.019222964,0.01630183,0.02048039
P04003,0.06515528,0.060225267,0.05141387,0.04455533,0.043557744,0.029414851,0.039955534,0.044674724,0.05074079,0.028427985,0.047975063,0.027871158
P0DOY2,0.1264297,0.057044953,0.047259666,0.042317305,0.031557538,0.020032417,0.015004888,0.0520697,0.020191057,0.055032957,0.02568301,0.01722983
P02655,0.11118293,0.10128287,0.07289908,0.055064417,0.043306045,0.012351297,0.060994774,0.051085077,0.024233837,0.022092802,0.044737548,0.035954185
P02766,0.099491194,0.06834492,0.0401508,0.03418096,0.037953332,0.04945349,0.024469232,0.08188421,0.03973754,0.02362544,0.033765852,0.023109628
P19823,0.09473191,0.10319781,0.066008285,0.052303486,0.04363668,0.0436733,0.039987788,0.07008715,0.032391727,0.02117318,0.025096927,0.023146883
P0DOY3,0.07567234,0.07037689,0.08593058,0.04279647,0.029035732,0.052408867,0.04162156,0.039949097,0.024083875,0.019410146,0.028427819,0.03050619
P01876,0.06578868,0.054715443,0.054407038,0.031295393,0.036033046,0.07578368,0.035685297,0.05037992,0.022542598,0.01750001,0.015347658,0.018583462
P35542,0.116433464,0.05436436,0.043193556,0.055137616,0.029879048,0.06916313,0.017848806,0.063524276,0.022998342,0.022587663,0.025619324,0.023755994
P01859,0.072668895,0.053326905,0.0334863,0.040619865,0.03288962,0.01804385,0.031823717,0.04962733,0.02792265,0.016173387,0.022485312,0.016090918
P06727,0.07755215,0.064356185,0.041212928,0.05360242,0.04893882,0.014710987,0.017378787,0.04130683,0.03739596,0.042916186,0.0189199,0.019842645
P68871,0.09295823,0.05230956,0.065173715,0.05559064,0.037434153,0.044906307,0.06921796,0.014292772,0.026555708,0.028561544,0.037114378,0.038901187
P0C0L5,0.075706795,0.06027783,0.041831873,0.025684673,0.022285417,0.035406567,0.01472694,0.048221275,0.028939938,0.017314011,0.0151599515,0.017327564
P02654,0.13122657,0.06568149,0.056829255,0.06388104,0.031635344,0.039392684,0.02239383,0.035486992,0.020690365,0.022135472,0.036346458,0.023340113
Q14520,0.08077734,0.063692324,0.032469418,0.0430818,0.042220607,0.015623023,0.020988828,0.035871446,0.07323916,0.03088465,0.028998395,0.024730423
P02743,0.087335214,0.046429522,0.04788749,0.045805573,0.046894442,0.027974915,0.022884667,0.05211381,0.04025338,0.022412244,0.02719527,0.025747612
P01619,0.08239306,0.05990141,0.09300825,0.05758044,0.024165632,0.03989209,0.02338658,0.016246337,0.028931003,0.038224407,0.028292939,0.03963997
B9A064,0.08903901,0.04686118,0.046142004,0.037442986,0.03713899,0.07026408,0.029209107,0.061684925,0.023213785,0.04853361,0.04170237,0.019357312
P69905,0.13344522,0.06648527,0.08485357,0.054815404,0.02882437,0.05816272,0.045943193,0.010787251,0.039946325,0.017086094,0.026149374,0.042184584
P19827,0.08302383,0.072782114,0.048739087,0.042025663,0.060661275,0.021891607,0.03593785,0.031224022,0.042644676,0.022449186,0.030399721,0.024645796
P04114,0.06677034,0.07235913,0.042813506,0.028971028,0.02357702,0.021605315,0.047473304,0.07422941,0.036665775,0.023103103,0.02232526,0.03672368
P03951,0.10337327,0.03051883,0.03052338,0.076123275,0.10976603,0.089351825,0.0832496,0.033145867,0.059002727,0.018820368,0.022004185,0.02133732
P00742,0.110116266,0.039610203,0.045244344,0.053305678,0.04014308,0.029125944,0.030054191,0.051474966,0.063330665,0.027379578,0.034801267,0.020982368
P0C0L4,0.081907906,0.036707073,0.050318968,0.03434111,0.04337023,0.057350744,0.02460384,0.048932813,0.015516941,0.021579878,0.020117119,0.032502063
