Model,Metric,Random_score,Grouped_score,Absolute_change,Retention_pct,Relative_drop_pct
Two-head Model,Median_r,0.6004608628307051,0.5327356505555174,-0.06772521227518769,88.72112797561591,11.278872024384084
Two-head Model,1-TVD,0.6231473733747959,0.5918505567622225,-0.03129681661257333,94.97762199604914,5.022378003950867
Two-head Model,Cosine,0.757829794313104,0.7356925696111122,-0.022137224701991864,97.07886587884063,2.921134121159358
Random Forest,Median_r,0.6586528355326489,0.5270773879555863,-0.13157544757706252,80.02355103039096,19.976448969609034
Random Forest,1-TVD,0.6459854285674842,0.5837302803741945,-0.0622551481932897,90.36276277448786,9.637237225512136
Random Forest,Cosine,0.7943458008251902,0.7240796855852759,-0.07026611523991433,91.15421581294699,8.845784187053017
Ridge Regression,Median_r,0.5674470410366286,0.4739648837518521,-0.09348215728477649,83.52583580064132,16.474164199358693
Ridge Regression,1-TVD,0.5590388186040631,0.5323184792564362,-0.026720339347626965,95.22030698792108,4.779693012078922
Ridge Regression,Cosine,0.7348337957539227,0.7025851784121591,-0.03224861734176365,95.61144063758292,4.38855936241709
XGBoost,Median_r,0.6509752880023363,0.4937951757782063,-0.15718011222412998,75.85467296209163,24.145327037908366
XGBoost,1-TVD,0.6475099437786447,0.5724705433227264,-0.07503940045591828,88.4110813776829,11.588918622317092
XGBoost,Cosine,0.8008859463189303,0.7074287642497497,-0.09345718206918063,88.33077512488103,11.669224875118978
