Fold,Model,Median_r,1-TVD,Cosine
1,Two-head ungated,0.5601153710994534,0.6291949170982865,0.7934175484741228
1,Single-task NN,0.5724645947323515,0.625757550730261,0.7956675409823124
2,Two-head ungated,0.513011909439397,0.5924034187867403,0.7471279145294916
2,Single-task NN,0.5186872598489904,0.5895676612741406,0.7481815149632884
3,Two-head ungated,0.5294581363322635,0.5708607510387642,0.7252005140309877
3,Single-task NN,0.5066111601427309,0.5694355827169015,0.7256211325353943
4,Two-head ungated,0.5870383002701277,0.5712643329976315,0.7077640380782673
4,Single-task NN,0.5711088585141579,0.5679378556915617,0.702809547645776
5,Two-head ungated,0.42361011506000024,0.5676874422770795,0.7000317515171824
5,Single-task NN,0.4154070684780814,0.5652662974420246,0.7045938368715976
