Fold,Model,Acc,F1,Precision,Recall,AUROC,AUPRC,MCC
1,Two-head ungated,0.8459949712643678,0.6769072193497083,0.625153496973611,0.7856367699471007,0.8913260433017404,0.7639315266672435,0.5676780818438733
1,Single-task NN,0.8445581896551724,0.6777826951759981,0.6293862789622324,0.7911258805394581,0.89364029531378,0.7832964459710163,0.5691759191330279
2,Two-head ungated,0.8186063218390804,0.6698603915568231,0.6445944128201344,0.7358509142404257,0.8456906077593681,0.7352482821868906,0.5153153723835252
2,Single-task NN,0.8231860632183908,0.6630678851792458,0.6834541588021386,0.6708942025801702,0.8422680196323988,0.7549459996176342,0.5130525025345937
3,Two-head ungated,0.8024083196496989,0.687233400630335,0.6527529913565077,0.7661661141479987,0.8464570562239689,0.7738858576199944,0.5033540362674698
3,Single-task NN,0.8091589126071884,0.6994680890406741,0.6648451740564043,0.763437850604888,0.8536823170456854,0.7865731874513363,0.5116242098378363
4,Two-head ungated,0.8296843641671228,0.721367915029584,0.647382443610828,0.8558669382218432,0.8914921453267957,0.8095325157403259,0.5793026758699217
4,Single-task NN,0.8452837073526729,0.7398936052822108,0.6905705312872833,0.8333709805764232,0.9041060373965284,0.8419022158043741,0.6055525445557571
5,Two-head ungated,0.744298485677796,0.6483213673019173,0.5848772332292358,0.7784144663994261,0.7831232421855466,0.7006394485438676,0.4099034085221134
5,Single-task NN,0.7584382411968619,0.6610400901053441,0.60727907147433,0.765135707010292,0.7956565242358501,0.737871096894513,0.4287220079909093
