Test_sample,protein,protein_name,category,abundance_tertile,pearson_r,Observed,Predicted
1,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.07266568392515182,0.023850759491324425
2,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.018512943759560585,0.04106532409787178
3,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.13434629142284393,0.19038096070289612
4,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.143937349319458,0.19190357625484467
5,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.4588049650192261,0.11141975969076157
6,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.03683769702911377,0.0671611875295639
7,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.1031390130519867,0.07078529894351959
8,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.02711464837193489,0.01939571276307106
9,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.1267356127500534,0.0656089335680008
10,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.041464753448963165,0.04028945043683052
11,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.0179995596408844,0.07930705696344376
12,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.01801418513059616,0.05248415842652321
13,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.10637544095516205,0.07438947260379791
14,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.036831215023994446,0.057518862187862396
15,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.02824447490274906,0.0526890829205513
16,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.0912754237651825,0.07866163551807404
17,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.13106879591941833,0.07440243661403656
18,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.005900994874536991,0.04244191572070122
19,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.06012887880206108,0.0037528262473642826
20,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.23084121942520142,0.28632551431655884
21,P02768,Albumin,Transport/Binding,High,0.7677770853042603,0.01109575666487217,0.037159960716962814
