protein,mean_training_abundance,abundance_rank,abundance_tertile,pearson_r,mean_test_observed,mean_test_predicted,protein_name,category
P02768,0.056902715597707154,1,High,0.7677770853042603,0.072880805,0.06809198,Albumin,Transport/Binding
P01834,0.05538870135692392,2,High,0.7653878927230835,0.05075104,0.057267167,Immunoglobulin kappa constant,Immunoglobulins
P02647,0.0410242101125425,3,High,0.5491753816604614,0.03890016,0.040028702,Apolipoprotein A-I,Apolipoproteins
P04004,0.03963645226127477,4,High,0.6089885830879211,0.044847287,0.038335465,Vitronectin,Transport/Binding
P02649,0.03790974847227629,5,High,0.4983839988708496,0.037236076,0.03529839,Apolipoprotein E,Apolipoproteins
P01008,0.03464295580639884,6,High,0.6709452271461487,0.023261074,0.028963182,Antithrombin-III,Coagulation/Fibrinogen
P02656,0.027688799623535116,7,High,0.6442511081695557,0.028453495,0.026738128,Apolipoprotein C-III,Apolipoproteins
P01857,0.027288494266427123,8,High,0.6793935894966125,0.030996656,0.03258716,Immunoglobulin heavy constant gamma 1,Immunoglobulins
P00734,0.02579804230494584,9,High,0.7042104601860046,0.025127184,0.021158623,Prothrombin,Coagulation/Fibrinogen
P02679,0.025423055916202177,10,High,0.6215463876724243,0.030213725,0.016541693,Fibrinogen gamma chain,Coagulation/Fibrinogen
P10909,0.02540941017001209,11,High,0.8086457252502441,0.021471048,0.026532033,Clusterin,Transport/Binding
P02675,0.024724306688443477,12,High,0.7189202308654785,0.03178351,0.01841614,Fibrinogen beta chain,Coagulation/Fibrinogen
P04196,0.02287729160235137,13,High,0.7921661734580994,0.027901907,0.03623159,Histidine-rich glycoprotein,Transport/Binding
P02652,0.022442245540100412,14,High,0.6672824025154114,0.017198753,0.018949706,Apolipoprotein A-II,Apolipoproteins
P02671,0.02162004283926639,15,High,0.46676573157310486,0.024660612,0.013790188,Fibrinogen alpha chain,Coagulation/Fibrinogen
P01024,0.021544078357715296,16,High,0.7190640568733215,0.021178048,0.020092105,Complement C3,Complement System
P01042,0.020051378866359965,17,High,0.5694417357444763,0.022040937,0.025486201,Kininogen-1,Protease/Inhibitors
P01871,0.019851944758189542,18,High,0.8808028101921082,0.019069532,0.022350455,Immunoglobulin heavy constant mu,Immunoglobulins
P0DOY2,0.011138285664850346,19,High,0.7835252285003662,0.008661052,0.011029011,Immunoglobulin lambda constant 2,Immunoglobulins
P01009,0.011078622422174826,20,High,0.6172736883163452,0.008288396,0.010664361,Alpha-1-antitrypsin,Protease/Inhibitors
P04003,0.01094144764054604,21,High,0.49160289764404297,0.013396236,0.013072823,C4b-binding protein alpha chain,Complement System
P02655,0.010632233727121177,22,High,0.8013633489608765,0.009160787,0.01094093,Apolipoprotein C-II,Apolipoproteins
P19823,0.00956577434555142,23,High,0.3667714297771454,0.008496045,0.0061402824,Inter-alpha-trypsin inhibitor heavy chain H2,Protease/Inhibitors
P02766,0.00945793511584689,24,High,0.6315542459487915,0.007301043,0.008614882,Transthyretin,Transport/Binding
P06727,0.009212076205252806,25,High,0.4346919655799866,0.007922275,0.008376213,Apolipoprotein A-IV,Apolipoproteins
P01859,0.008877591151615226,26,High,0.30141809582710266,0.008396417,0.008765427,Immunoglobulin heavy constant gamma 2,Immunoglobulins
P0C0L5,0.008820096380949499,27,High,0.38880836963653564,0.010451141,0.0082941875,Complement C4-B,Complement System
P02654,0.008481499079082562,28,High,0.4589071571826935,0.009717589,0.007784426,Apolipoprotein C-I,Apolipoproteins
P0DOY3,0.008396838643303147,29,High,0.5962217450141907,0.00789883,0.0067344457,Immunoglobulin lambda constant 3,Immunoglobulins
P68871,0.008389407163334398,30,High,0.5505357384681702,0.005421252,0.009155986,Hemoglobin subunit beta,Other/Mixed
P35542,0.008090260547622694,31,High,0.6104351878166199,0.0086022355,0.008893333,Serum amyloid A-4 protein,Other/Mixed
P01876,0.007957810503250716,32,High,0.6895424723625183,0.007473968,0.0084592495,Immunoglobulin heavy constant alpha 1,Immunoglobulins
P01619,0.007694036393162496,33,High,0.536597490310669,0.0030842498,0.0059259254,Immunoglobulin kappa variable 3-20,Immunoglobulins
