,np_subtype,zp_solvent,hd_solvent,mod_type,mod_charge,np_type,zp_charge,incub_time,zp_mv,agitation,washing_steps,size_nm
P02768,0.07666078538534608,0.055459675439499055,0.0751964063750037,0.03480867339801033,0.03202571302338163,0.03233250346647128,0.01548843840067821,0.04245366520000629,0.03718640778612063,0.033625269559517966,0.024980476661431567,0.02896442806468668
P01834,0.061955276235938106,0.04057428164500745,0.0344401061130484,0.022760352989309472,0.022137619455097575,0.016889723179105205,0.02432276258489583,0.01899174180249975,0.024734810065230702,0.025263400212075793,0.021264299511356517,0.018237849181343337
P04004,0.04017155479384564,0.036205103818235315,0.022573922178691634,0.016973858815847967,0.015241052236784531,0.01278252902604072,0.009912561283576005,0.03451215516057437,0.027895197388271304,0.011936424807488948,0.009226537826372812,0.014063000081172497
P02647,0.03432769380486571,0.026304494212148716,0.014435822709114286,0.013365702215232885,0.012651377891772422,0.0055385540846036784,0.010787273905472832,0.018613010930595926,0.010999660085188217,0.010084807369974432,0.011282860691659156,0.009052608815720307
P02649,0.0548352205468691,0.018799580201390192,0.014206505348091009,0.013959696887177419,0.011896940142032682,0.009165211688261485,0.008037431364413353,0.020746941782243088,0.013411428704916035,0.013133485468453724,0.010606384111451917,0.007404621098598
P01008,0.09213598470550324,0.05582033082373709,0.04623780836457717,0.0346066863519543,0.03480591015233767,0.06672520353038817,0.0470309841465314,0.06932708336894053,0.04332929183877423,0.03233707864235975,0.033732063422867206,0.02088185736970081
P01857,0.03658208419104631,0.027358270799319136,0.021751107902229706,0.014197659021840081,0.015701761774631447,0.03384097746605402,0.029979589962022147,0.02714167086804082,0.021485314720761376,0.014519169725259412,0.027876507196415334,0.013187435678424661
P02656,0.09601540138448031,0.06543713324848792,0.04978970027315065,0.02909688659224957,0.06423789445603234,0.03955673138115706,0.05448880167664173,0.0263980406132323,0.027395822263086296,0.014071900737646498,0.026713015430887027,0.021342122607780765
P10909,0.04463327442118314,0.032661233718303276,0.030983211546881627,0.01745820404250844,0.02427220322394714,0.027282971575361442,0.01616747632512853,0.0349101353726146,0.030588899460402906,0.012593529852354549,0.008748355961412015,0.01587083653976878
P00734,0.08487845303355335,0.05470641964788135,0.03340430399924084,0.03499482295885116,0.03993641818999503,0.019712426309284072,0.012520462588306145,0.06774124602726488,0.0769185529514849,0.021393934104233733,0.02164114493001672,0.022628175829132943
P02675,0.11617516539322632,0.06542893958148646,0.08209376508088298,0.043574148231703316,0.0282593600163595,0.015224673215621844,0.017021826282414595,0.02820024898068544,0.05264073126010793,0.028059684960425567,0.0572843227861763,0.02869812749775047
