,np_subtype,zp_solvent,hd_solvent,mod_type,mod_charge,np_type,zp_charge,incub_time,zp_mv,agitation,washing_steps,size_nm
P03952,61.244901842439326,32.46511013514926,30.122666972658113,51.334388979999915,50.8550581243307,51.28548521880701,62.484144647619246,21.899866855697407,43.64128007373568,16.849755858573307,14.387974521925862,13.702433250046568
P05546,72.96044564059265,55.214408132082696,36.31969982909019,41.573032215350366,63.64166318711689,49.91535016933305,28.248474215279547,39.932131560636655,15.22662879429163,19.2532968580958,14.952126249929066,10.036535349474093
P49908,79.74585077157883,41.42260481045466,31.623249032695334,40.35616945601596,86.40758860844579,43.327662176413675,33.7951885273021,24.8238317450528,23.103910959456027,16.841610080679594,13.900669394417339,11.103704558537148
O14791,83.08454074509397,62.867510699706095,47.467909477249506,45.506935973775434,15.700045535732793,25.723366538706845,36.44130691154152,41.00307497218243,17.92669329961715,29.151720017292153,17.30176229737772,18.62678276417963
P07996,80.30433706997235,66.64835512765295,62.45637795323403,38.0879229020017,41.87506901267719,34.33374304940035,23.328922327185452,24.082440126771484,17.368699313631712,24.38602994528138,7.534775667176266,16.158621004749016
P03951,66.55101875694318,19.647817177714145,19.65074555324675,49.00765243490215,70.66664332759926,57.52409856114695,53.59553718924395,21.339086636528553,37.985567939489556,12.116426596369445,14.166144574512893,13.73682411498566
P02788,68.94617080111614,32.126025119756406,40.20045773125114,39.2583728500953,73.87439603850648,59.730233235060496,33.825064760406484,12.2869033598715,18.512433957120862,29.105537992575016,8.961356414845067,15.114527773452508
Q9Y490,73.85575661287187,27.013581078234644,32.822891295393305,39.03007760360418,39.5044725797775,46.18378419924007,70.00391433424865,14.547878407419198,15.548862180309225,17.354045351769198,35.965294312643096,17.892267113951405
P12259,79.6293237802874,48.67209725120944,28.625704503321554,35.88179318593373,26.118527276797188,49.406043567041735,57.952283816599206,44.759214629021336,15.625843064822288,18.772842640516,9.61232778909689,13.721025458401853
P15169,68.94996069338663,40.289647455738084,35.90371267030456,44.59027063349284,62.01847787050616,52.89841605137957,39.736888796303326,25.38681511940216,25.638206626976682,11.87970993138726,10.028331417258082,11.438616366276259
P00747,52.806971071758525,54.810327819612695,48.651356483697,48.74041490429007,39.783438539991884,43.40892558039289,41.410224754656234,21.92798032899757,29.01323863639476,10.713955188309734,15.647732127003405,15.107290591692546
P13671,68.42286422474677,67.76864812039854,65.24769032162602,53.60376244196298,20.686091781905976,27.94482935666622,10.422028793741763,25.450713750255233,16.490292711677863,15.168615935242476,24.21192712737072,21.192904675761206
Q92954,80.39448405132886,42.612005443760786,27.193569899911846,35.95223816452555,61.86911687425257,53.876957589049226,15.308611050851978,42.01790276313459,11.949232368256284,24.030398800145075,9.609808392756253,8.318303249494495
P00748,72.69619245568181,41.546013860003505,31.809034793026996,39.93796594873877,63.815201857249626,46.55397695433684,21.2435895370863,26.330721294746173,30.714540959175316,11.738003616393037,14.964756326076584,9.233085935487837
P02790,43.021066705520504,51.746684977500394,55.57775086076501,53.62971771271808,25.325130413137103,40.10730583090735,47.904335734758575,25.98302370431041,14.643434885173448,12.485067364252364,11.942591948537402,27.92461381106231
P02655,71.5788279319013,65.2052284316341,46.931950781623215,35.450101399473525,27.880145591511607,7.951682803408396,39.26802569196572,32.88823187899449,15.60158023644912,14.223198798785571,28.801735989006204,23.14706864983192
P18428,75.93439145267888,66.77613121437713,43.103260946240034,46.78812296643448,30.666035394683995,26.36492189631099,14.080128582278281,37.05467429981578,18.516837419947382,16.610173982418452,14.945829004832115,16.090926410943176
P05154,75.15736774753832,25.79068452799666,24.227351052515882,31.466875401624122,53.895370280557366,59.14681917834164,35.49033728562443,28.84204437371705,24.690141434326325,25.078992665892052,15.500596377795523,7.545132118955427
P02775,63.94111960991332,66.32715044450065,59.80853402656084,61.84125926541798,23.196886143556625,33.499226118095734,16.187421195611382,24.583630195058905,17.435572219207845,12.405184582469913,14.422505982226735,12.562747053450998
P17936,72.54872802363124,41.364438321987315,36.19695177125939,48.86272951083937,38.57858299885352,51.84815325874514,26.363181054458785,26.420124175778465,26.098303121921052,12.617751955786519,9.284870758523853,11.294377307970382
P02748,62.531703423135276,83.56932643873792,56.907528353415195,23.367961233261042,16.662598703008598,22.092435387026377,20.350718377323705,40.509694723759154,16.945767076633274,29.08029103581126,9.233936163847165,17.839396777444154
P04217,60.20398771293055,41.79382259593365,40.099569279288964,29.491691940619408,25.052177227413296,27.912625429398318,86.90615950169007,16.469450529929883,14.060735048802133,17.34554141041539,21.03067670316758,18.412144204779104
P08697,72.69149134856863,43.61053744363921,26.041740209828028,32.62817176090201,44.273265424256884,38.1916661032134,33.25080249326525,37.47907551163878,22.94829716466759,17.302326114968267,12.829131321936051,16.89324513847417
P19823,60.98776751034972,66.43805791428473,42.495699958296605,33.67263626045609,28.093004990442683,28.116582380571824,25.74387139255424,45.12164078844773,20.853572663219975,13.631151717936781,16.157234754963678,14.901806379552033
P05155,63.85905642296109,53.076460949510704,34.35786724571758,43.627227839031924,24.23291183417706,30.203937877612418,45.96531631205736,45.38969248243967,10.773527547636512,13.454128374855229,16.640300785953215,12.01144944312417
P69905,85.91114389975554,42.80278033164732,54.62815033114108,35.28980138115398,18.556938605526117,37.44476267506374,29.577919494321236,6.944761100635992,25.717173277755954,10.999912125165672,16.834795816955875,27.1581506700866
P02751,57.186365382983574,76.7814295508636,54.95355840564129,41.9991745853076,15.490219288995258,30.249624171500116,14.63821488150416,28.937775517791568,20.951680767367854,13.939764231898469,22.295463098254302,13.116528428815533
P02776,62.43314316038053,45.144415801097345,35.733075063438896,38.34183883118178,69.82749082032852,39.86569194188525,22.09717962149177,23.320818030261776,13.024206295015947,19.5019619515791,9.629035172045814,11.003215061578524
P02765,57.04342887938147,47.83642285967919,44.172902051287416,60.04813801630422,28.232661034907913,34.899434840053004,27.090201104453616,32.69177676304513,12.261113763547488,14.140283951467392,14.179892422831378,16.20639378489161
Q9BXR6,60.32195406306662,58.798557114882186,38.789082312195546,31.11409995569925,73.65705660870606,29.538576319183722,20.796135699249426,24.55879630323505,14.415004012878379,15.745624009828768,9.617746134385015,10.182633482377206
