feature,mean_abs_shap,relative_mean_abs_shap
zp_mv,0.04718446136659743,100.0
zp_solvent_PBS,0.04230486115595795,89.65845943916226
np_subtype_Metal Oxide,0.0325750544778563,69.03767370526064
incub_time,0.030005946753633612,63.592856386563014
size_nm,0.02749979979980433,58.28147445860606
washing_steps,0.02647372064211277,56.10686203753913
hd_solvent_PBS,0.024859515667755416,52.68581000556644
mod_charge_Negative,0.023268415259227973,49.313724445098835
np_subtype_Metal,0.02285863738829029,48.445265085662825
np_subtype_Lipid,0.021710009476501334,46.01092997083605
zp_charge_Neutral,0.021270400177010932,45.07924761872679
zp_solvent_DI-H2O,0.02038004275606752,43.19227594382342
mod_type_Carboxylic Acids,0.01906817758024311,40.411985276453215
np_type_Organic,0.018679566659477405,39.58838591871888
hd_solvent_DI-H2O,0.018483448272144404,39.172744028035275
zp_charge_Negative,0.018031162986551472,38.21419692906783
mod_type_Alkylthiols,0.01767899092803213,37.46782397424451
mod_charge_Positive,0.016734984932318047,35.46715263377996
mod_type_No Modification,0.016178637440081217,34.28806215330522
hd_solvent_Not Reported,0.016173754627384206,34.27771380438782
mod_charge_No Modification,0.015067505303687976,31.933193401577075
mod_type_Amino Acid,0.013008515453528852,27.569490202420262
mod_type_Polymeric,0.011596045245057206,24.575983086809625
np_type_Inorganic,0.011434995065759493,24.23466271431148
hd_solvent_KCl,0.011379199612221981,24.116413078898645
np_subtype_Silica,0.011357829947606748,24.071123456009445
agitation_Y,0.009633762578171808,20.417235460891984
agitation_N,0.00937674869933031,19.872535211280905
np_subtype_Polystyrene,0.00836005963584471,17.717823609114923
zp_charge_Positive,0.00763981276296083,16.191374324703357
mod_charge_Neutral,0.007583511229572744,16.07205213312284
zp_solvent_KCl,0.007215949153615039,15.293062471458699
zp_solvent_Not Reported,0.006797633171925022,14.406507937244708
np_subtype_Other,0.003392817485788624,7.190539825024789
mod_type_Other,0.0028708310867322858,6.0842722446855975
zp_solvent_Human Plasma,0.002447801640271182,5.187728267687753
mod_type_Amines,0.002371652370446438,5.026341939182049
mod_type_Lipid,0.002117035346630152,4.486721444549184
hd_solvent_Human Plasma,0.0012339718976102745,2.6152081890328014
np_type_Carbon-Based,0.0,0.0
mod_type_Sulfur-Based,0.0,0.0
mod_type_Surfactants,0.0,0.0
mod_type_Small Hydrocarbons,0.0,0.0
mod_type_Silicon-Based,0.0,0.0
mod_type_Peptide,0.0,0.0
np_subtype_Niosome,0.0,0.0
zp_charge_Not Reported,0.0,0.0
zp_solvent_HEPES,0.0,0.0
zp_solvent_RPMI,0.0,0.0
zp_solvent_NaCl,0.0,0.0
zp_solvent_Other Buffer,0.0,0.0
hd_solvent_HEPES,0.0,0.0
hd_solvent_Other Buffer,0.0,0.0
hd_solvent_RPMI,0.0,0.0
agitation_Not Reported,0.0,0.0
