,np_subtype,zp_solvent,hd_solvent,mod_type,zp_mv,mod_charge,zp_charge,incub_time,np_type,size_nm,washing_steps,agitation
P02768,0.0703388127748288,0.07248709702482,0.0761105580894764,0.03941634977569871,0.047395754725372774,0.03653206298090482,0.01907559564756412,0.04484296665552089,0.02656881169089806,0.03395762700709687,0.023901207318916318,0.01934072261950254
P01834,0.05230603296464934,0.020334238040959463,0.021738173034585397,0.015943818873104962,0.038032745734866084,0.014100622201416023,0.018750007246853793,0.01748729186947457,0.014200031037520008,0.018202713865321126,0.007220086773547039,0.01799601602251642
P04004,0.04076483699561019,0.03909982446348293,0.023616551007823238,0.015091133420840688,0.05059214138552003,0.0119753567336981,0.011104141652079607,0.02794494277720028,0.011549988545205763,0.013960885918155934,0.002050198148936035,0.006135334769108642
P02647,0.02638462384541829,0.02287823238099615,0.014294591872021555,0.015919097745791068,0.020561191517238814,0.010874245005349312,0.009228557612126069,0.017591851903125642,0.0032458994227151086,0.008821638037140164,0.006143337581306692,0.0069746213033795215
P02649,0.07493466025528807,0.011881531697387482,0.014917435768681268,0.016575003912051522,0.024409412305491658,0.011829453163469849,0.007728952402248985,0.023339051761043568,0.006157455352755879,0.004408241823936501,0.005196038493886586,0.012429729600747428
P01008,0.10404882542658622,0.047586076914619004,0.04507686081451538,0.02861823624222476,0.06654185108227464,0.04158998004404565,0.03793678385266806,0.06011488140284201,0.06553026336544766,0.011839073333188335,0.01788837694136116,0.015905456541077004
P01857,0.03053423396777362,0.02138900141386936,0.01420591280912049,0.009380411127737413,0.03690664043921667,0.01030580610580122,0.026837403020666277,0.02055351231247186,0.030416255576225616,0.009994004162338877,0.013236617378424853,0.016852182270182918
P02656,0.08755487472905467,0.053570422155704976,0.04276610151476537,0.04748454235232203,0.047579009958523495,0.07045656327391042,0.054526736046439817,0.01738415577225775,0.026251445230445827,0.031193094374611978,0.040696019470730475,0.008119066656217915
P10909,0.04340415046026466,0.022004367964109407,0.028186423721490442,0.01767016108206007,0.05683077890716959,0.022894287529440293,0.013928226884066442,0.026830892292006563,0.02512117614096496,0.017268149730322563,0.002021418387691188,0.00747721301934992
P00734,0.10447632224095288,0.05679097088195704,0.034232934109059,0.03942446174041832,0.11715271403766866,0.03754531364732733,0.017079579334676954,0.05203650982439286,0.01699846558276477,0.020892460195439833,0.007539244168826066,0.013867434752561778
P02675,0.05094890468087292,0.08508258095538017,0.09598930739651526,0.04269627154991061,0.06004376144855428,0.030068631271376482,0.021427331210499757,0.03668848885812963,0.012558305581387682,0.03707671312879672,0.048031442287431975,0.009008781596465565
