,np_subtype,zp_solvent,hd_solvent,mod_type,zp_mv,mod_charge,zp_charge,incub_time,np_type,size_nm,washing_steps,agitation
P02768,44.908998992661395,46.280607233017285,48.59406694157857,25.166031989165187,30.260617392448918,23.324510535332823,12.179135130745863,28.630746879501025,16.9633050430123,21.680818553716293,15.260128129326628,12.34840990872407
P01834,33.39566718646921,12.98273655288047,13.879102481266905,10.179599533526378,24.282646699809973,9.00277959291775,11.971257735852515,11.165055848534982,9.066248837625462,11.621829064108763,4.609785932528359,11.48985934713305
P04004,26.026996353100163,24.96394107567543,15.078384516037941,9.63518815371849,32.3014042587305,7.645868081567402,7.089626147998719,17.84191909875923,7.37428460162347,8.913562610762328,1.3089835181050047,3.9172077562295917
P02647,16.845707212727746,14.606992561007583,9.126622794106213,10.163815913674974,13.12763882000059,6.942844764163339,5.892127946961869,11.231813962024054,2.0723991229655474,5.632323294847016,3.922317286384603,4.453064371307596
P02649,47.843295176065716,7.585963907826956,9.524287963935267,10.582590246050572,15.584600157355297,7.552713491236427,4.934679758643003,14.901210450931284,3.9313310152034244,2.814516194129124,3.317498238629469,7.935970086756678
P01008,66.43172399324784,30.382131797767382,28.780080542329518,18.27179464470206,42.48476488777316,26.55382282157661,24.221378220844304,38.38135791410878,41.83889968243622,7.558855650524497,11.421135363936928,10.15510645690999
P01857,19.495095643569744,13.656167982596864,9.070004153708586,5.989081380075008,23.563665818659132,6.579915380511156,17.134791698560672,13.122735902457078,19.419770353617153,6.380840181308034,8.451141170336209,10.759559434398385
P02656,55.90088353633406,34.20293774830287,27.304737371597295,30.317305347390516,30.377619780693816,44.984178780832835,34.81351244897579,11.099206871230736,16.76067708427237,19.9157561605695,25.98305864597118,5.183754770679359
P10909,27.71211046079664,14.049059114742008,17.99609667236415,11.28181177545233,36.28456739616123,14.617243240779693,8.892710900715393,17.130634814256176,16.039037758862868,11.02514086108798,1.2906085951035124,4.773952512233279
P00734,66.70466653021128,36.25915129239654,21.85659300706496,25.171211209584897,74.79812224792013,23.971437478830595,10.904744917880862,33.22358560082993,10.852956477627023,13.339142883671022,4.813557343754331,8.853897141073979
P02675,32.52918578985914,54.32240596169915,61.285989045282996,27.260153255124376,38.33595018216866,19.1978237648075,13.68064028644103,23.42438326968226,8.01806158584891,23.672251590066455,30.666482816643004,5.751808250388305
P04196,39.45388835505048,13.675467014093066,20.676590245303956,27.083511343402623,17.405611335200515,22.086074782916036,33.7967562524281,21.400813020872324,44.82458741880062,17.26699068187679,9.1891852368167,4.117754977690224
P02679,43.072153551427135,51.38265639507895,58.14986116847546,24.508790143769733,35.78251733917832,20.06100130570037,13.184951232195552,26.3556828156414,7.570479320824244,19.11617950296103,28.00449565745662,14.81116233126636
P02652,63.556554503432594,37.480250599566354,31.212733594184183,23.105323918765276,24.641995046366773,18.857830129550983,15.456553738068113,26.14487104278674,9.789309227100043,17.712546312750675,2.389962608982001,6.406728981482786
P01042,42.51910375844482,35.33749710796174,26.187050400078032,38.414453232651205,23.82646327045057,50.66375022339199,27.798224425922424,21.77808842372051,35.162462948902146,11.921998369011561,7.836897464014701,8.41383791716194
P01024,8.056622106323992,3.3616347066174868,4.734023173819293,7.6871592742825605,9.196856114972354,2.8832856761758747,5.646301519537254,6.64178613316516,9.262184796378687,3.2696488347584096,0.5033502533809256,9.179873939803915
P02671,24.951710679945325,51.37210219300569,54.39464563896453,51.909509159260146,30.87899809863882,20.55014170084401,21.251997169715533,8.32522561502254,10.251531019384704,15.24863842504317,22.44411152415755,20.15149245771462
P01871,28.764137791940534,16.763785823886366,25.726892449427208,16.205248838529172,16.69216892717867,17.563029556497984,8.68066894221802,11.810632599078662,9.305023420135658,11.87897895983891,3.207267891934974,3.6377191109790292
P01009,52.758090213362664,26.08868773968065,38.64366708277979,16.50165696385222,39.196578501504156,22.237465495554797,19.079277060713864,29.02072251494891,39.11578886691877,12.640660874344412,5.566859356451724,6.969558845986973
P04003,42.84467541907405,35.17066827209051,26.362715242876885,25.796168520174938,63.275331196616655,32.53112668333834,26.750720362918155,22.253979547495206,14.55501086557491,18.448208584980527,32.515670331330206,14.154269265289532
P0DOY2,66.75813188988279,37.28999430906468,28.409965660153674,43.396291357485886,18.027899834418985,21.313527084370367,9.88235479024422,27.03749701622472,7.768612403783999,10.288808753356985,5.620462122565419,14.114823983094077
P02655,59.88118091481115,67.77069679430538,48.212883017294054,56.81860627699942,25.427135323512935,29.376681834800067,42.602797924289284,28.66666344028332,10.419183274386032,14.225562440806023,19.170720906153427,9.958007911688922
P02766,81.20650535090827,44.569834345918444,29.001596608876557,18.753377857172215,39.53861490060566,21.873486232714363,14.788713601572548,46.183090798401516,31.67324634268595,22.041561697382033,10.10246252501573,12.40383856118986
P19823,48.47672322713562,75.10233678692171,45.17373265414215,37.83069813351338,36.285546370762134,26.368493502604423,25.8104137849699,33.76919073936501,21.20864387942618,16.14575740038051,7.183303648381456,9.933321125993785
P0DOY3,48.95282055321179,46.06178484551837,53.15637542761361,23.442374501207937,22.591397998040254,22.369243378876238,22.100506978002493,28.232753540058297,24.740857485621078,34.44584405511592,11.057160695976687,7.005995432891901
P01876,36.05002250330925,24.169810123490677,35.566331352237604,15.233625848026074,29.11262170225928,22.42209281863896,18.349651232680415,27.036526701066492,39.96876831198242,13.274298391265887,3.4216086941530848,5.803350373067344
