,np_subtype,zp_solvent,hd_solvent,mod_type,zp_mv,mod_charge,zp_charge,incub_time,np_type,size_nm,washing_steps,agitation
P07996,66.5595061984751,88.72273347731546,74.19502998766039,44.91363478933698,21.603562655315546,50.07343079886311,30.263228139336057,21.519673890419416,28.246102701054564,19.661054011348504,7.291870431155366,17.189604557875764
O14791,71.62641640493158,67.55388109907231,47.298415036742455,62.423510667731875,32.29910778490932,19.363507293926833,45.126048911122005,33.78914230087138,22.093152820977018,23.83440665052062,13.754126857186263,24.097150065894258
P05546,73.15054182835884,58.8186745192529,33.08695759111946,45.243790281891236,21.9284215856938,69.44420297069152,24.084913625417265,34.54028197485854,38.669553553391836,15.007389265559143,14.351522075318474,19.261957481184684
Q9Y490,44.23040981116891,28.796240167682996,47.50481369876798,28.682623269426227,20.889198447552715,49.23903326834631,86.76147662525871,20.193492970462433,36.68698987840088,28.51665149175983,47.55570203767138,7.161684479940153
P02788,67.82950846434511,16.733171527294996,45.986072197883914,55.01523703162928,27.026729545409722,78.9148356756115,40.43592587873548,12.033057484564466,47.1966942093611,25.803456071655056,7.352949536372057,17.57586570027838
P03951,68.65161444400991,13.788160309757567,15.653178215098487,53.7714828770563,60.32027738980321,71.14242078932203,55.90756335908231,18.95571937535177,39.74902856222157,17.89220978790312,8.658301517831417,8.116736011135332
P02775,61.100950106162365,76.45268238467645,71.38559510598635,80.19457328966591,19.293234298917096,24.338779109798764,16.579408590483784,19.740111011994628,22.775856540935806,9.526089007309151,12.696850316655006,8.223000689781346
P15169,58.227563258931525,44.087334033047384,38.226218095818716,56.51466286618388,32.69215469488,59.34172771874299,39.532779618667426,19.972903418118403,41.02384770763245,17.233497305409472,7.575054538027557,7.775892173909697
P49908,73.12300688231248,35.33063113276152,29.53365503171067,50.378329254909204,21.51226034963344,90.62127067297546,32.4633626741634,20.826939874812354,31.535891959637325,11.624291426234082,9.35732057489061,7.369678212581782
P18428,73.37193810189767,71.11276286330666,45.44315217157551,52.88362449284937,33.67725519254182,31.509688110856825,12.650592758107207,28.557124312789462,20.247151248647732,15.133928666890414,14.014028811585169,14.698153913692233
P02655,59.88118091481115,67.77069679430538,48.212883017294054,56.81860627699942,25.427135323512935,29.376681834800067,42.602797924289284,28.66666344028332,10.419183274386032,14.225562440806023,19.170720906153427,9.958007911688922
P03952,55.42678046502718,32.092151977740194,24.977763207492824,59.977596316366025,50.082812700637625,50.01725385883387,54.24165540863245,16.978471747525273,34.16996759991243,14.4460529715047,11.883208824205063,7.420201255732363
P05155,76.29981248549737,47.18128890530918,34.38774589340503,67.19372911893137,16.927250585333937,26.851230350597273,36.743572346555695,37.258990303224515,27.193519745210835,14.379979349819402,16.890913578613205,10.320574824220074
P02776,65.35328363881948,49.14666853342382,42.41141569974806,47.291808495963416,17.913112310531574,80.17737501440985,26.892685410707006,19.641352752208224,29.65313712398061,17.74944621013148,9.398346767863462,5.875302520914613
