Protein Category,N,Accuracy,F1,Precision,Recall,AUROC,AUPRC,MCC
Overall,174,0.84,0.734,0.665,0.851,0.906,0.837,0.597
Apolipoproteins,15,0.835,0.796,0.75,0.863,0.896,0.893,0.552
Coagulation/Fibrinogen,19,0.841,0.762,0.721,0.821,0.906,0.832,0.633
Complement System,25,0.806,0.707,0.635,0.817,0.884,0.81,0.544
Cytoskeletal,22,0.89,0.707,0.61,0.893,0.943,0.865,0.657
Immunoglobulins,24,0.825,0.707,0.623,0.87,0.884,0.783,0.547
Metabolic Enzymes,6,0.867,0.676,0.582,0.839,0.912,0.794,0.604
Protease/Inhibitors,15,0.833,0.758,0.714,0.823,0.903,0.852,0.609
Transport/Binding,28,0.842,0.788,0.74,0.859,0.916,0.893,0.632
Other/Mixed,20,0.838,0.684,0.58,0.858,0.913,0.79,0.594
