Protein,Category,Accuracy,F1,Precision,Recall,AUROC,AUPRC,MCC
P02768,Transport/Binding,0.9875,0.9915966386554622,1.0,0.9833333333333333,0.9991666666666666,0.9997267759562841,0.9677334015667417
P01834,Immunoglobulins,0.8625,0.9147286821705426,0.8676470588235294,0.9672131147540983,0.9456427955133736,0.9828916110461137,0.5881786164307045
P04004,Transport/Binding,0.95,0.9733333333333334,0.9605263157894737,0.9864864864864865,0.9391891891891893,0.9946384502155948,0.5879298010176119
P02647,Apolipoproteins,0.8875,0.9395973154362416,0.9090909090909091,0.9722222222222222,0.8107638888888888,0.9751075931897797,0.15352206215727945
P02649,Apolipoproteins,0.8625,0.9241379310344827,0.881578947368421,0.9710144927536232,0.8649538866930172,0.9731580330378669,0.24149064389042033
P01008,Coagulation/Fibrinogen,0.8875,0.9108910891089109,0.8518518518518519,0.9787234042553191,0.9500322372662798,0.9549747746145593,0.7738853959022645
P01857,Immunoglobulins,0.9,0.9436619718309859,0.9178082191780822,0.9710144927536232,0.9552042160737813,0.9927288618883509,0.5186461809489394
P02656,Apolipoproteins,0.75,0.7872340425531915,0.8222222222222222,0.7551020408163265,0.8574720210664911,0.902783253423454,0.4881213296601035
P10909,Transport/Binding,0.9125,0.948905109489051,0.9420289855072463,0.9558823529411765,0.9105392156862746,0.9763637332302395,0.6455022270395531
P00734,Coagulation/Fibrinogen,0.9,0.9285714285714286,0.9629629629629629,0.896551724137931,0.9568965517241379,0.9827557792775031,0.7680406801974818
P02675,Coagulation/Fibrinogen,0.9,0.9166666666666666,0.9361702127659575,0.8979591836734694,0.978275181040158,0.9860669770913588,0.7928769497846578
P04196,Transport/Binding,0.8625,0.9043478260869565,0.8813559322033898,0.9285714285714286,0.9066220238095237,0.959046963299334,0.6633434988070549
P02679,Coagulation/Fibrinogen,0.9,0.9130434782608695,0.875,0.9545454545454546,0.9703282828282829,0.9765792885251436,0.8000946913656627
P02652,Apolipoproteins,0.8375,0.8828828828828829,0.8909090909090909,0.875,0.8549107142857143,0.931570097733358,0.6179143806533246
P01042,Protease/Inhibitors,0.8125,0.8571428571428571,0.8035714285714286,0.9183673469387755,0.891705069124424,0.9372413881474488,0.5990943769903527
P01024,Complement System,0.9875,0.9935483870967742,0.9871794871794872,1.0,0.9826839826839827,0.9993207954041857,0.8112457445926347
P02671,Coagulation/Fibrinogen,0.85,0.8723404255319149,0.9318181818181818,0.82,0.9606666666666667,0.9769563420213159,0.7006490497453707
P01871,Immunoglobulins,0.9,0.9444444444444444,0.9315068493150684,0.9577464788732394,0.8763693270735525,0.9767782251348922,0.44975111032442416
P01009,Protease/Inhibitors,0.9,0.9344262295081968,0.9047619047619048,0.9661016949152542,0.9556093623890234,0.9840234582010261,0.7318080559625116
P04003,Complement System,0.6875,0.7706422018348624,0.711864406779661,0.84,0.7696666666666666,0.8565777994105102,0.3007478795593687
P0DOY2,Immunoglobulins,0.825,0.8292682926829268,0.7727272727272727,0.8947368421052632,0.9010025062656642,0.8728492399574698,0.6591241898175125
P02655,Apolipoproteins,0.8375,0.8169014084507042,0.8055555555555556,0.8285714285714286,0.9057142857142857,0.8904324082867286,0.6711011724845346
P02766,Transport/Binding,0.7625,0.8155339805825242,0.7777777777777778,0.8571428571428571,0.8647136273864384,0.8994885032038902,0.4889177122615932
P19823,Protease/Inhibitors,0.8,0.8222222222222222,0.8043478260869565,0.8409090909090909,0.8986742424242424,0.9268299947122344,0.5946752800285646
P0DOY3,Immunoglobulins,0.925,0.8636363636363636,0.7916666666666666,0.95,0.9658333333333333,0.8811329578985052,0.8189230248533257
P01876,Immunoglobulins,0.875,0.9166666666666666,0.8870967741935484,0.9482758620689655,0.8996865203761756,0.9423751076341607,0.6737497456694623
P35542,Other/Mixed,0.7875,0.7733333333333333,0.6904761904761905,0.8787878787878788,0.8665377176015474,0.8441401549487643,0.5936418827858013
P01859,Immunoglobulins,0.8,0.875,0.8235294117647058,0.9333333333333333,0.8583333333333333,0.9522720679955133,0.40422604172722165
P06727,Apolipoproteins,0.75,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8374255952380951,0.9293457759147702,0.40476190476190477
P68871,Other/Mixed,0.8,0.8048780487804879,0.717391304347826,0.9166666666666666,0.8939393939393939,0.8873119457990121,0.6251714482351577
P0C0L5,Complement System,0.875,0.9206349206349206,0.8923076923076924,0.9508196721311475,0.9357204486626403,0.9788059026013551,0.6349795620875779
P02654,Apolipoproteins,0.7875,0.6792452830188679,0.72,0.6428571428571429,0.8592032967032968,0.8230310483848259,0.5229975846277624
Q14520,Protease/Inhibitors,0.8375,0.7547169811320755,0.7407407407407407,0.7692307692307693,0.875,0.8247147067065249,0.6335384327296245
P02743,Other/Mixed,0.8,0.7647058823529411,0.6842105263157895,0.8666666666666667,0.9313333333333333,0.9090183619654201,0.6075272752247604
P01619,Immunoglobulins,0.8375,0.8,0.7027027027027027,0.9285714285714286,0.9127747252747253,0.8756725601405517,0.6859377765521674
B9A064,Immunoglobulins,0.875,0.8809523809523809,0.8222222222222222,0.9487179487179487,0.9684177611006879,0.9734336913651479,0.759315973289417
P69905,Other/Mixed,0.8125,0.7540983606557377,0.6571428571428571,0.8846153846153846,0.9380341880341881,0.9024952997382485,0.6254017837577625
P19827,Protease/Inhibitors,0.7875,0.7605633802816901,0.7941176470588235,0.7297297297297297,0.8614079195474544,0.8572805248587068,0.5718117474286205
P04114,Apolipoproteins,0.875,0.9180327868852459,0.875,0.9655172413793104,0.9510188087774295,0.9830820832657203,0.6718710131470252
P03951,Coagulation/Fibrinogen,0.825,0.78125,0.78125,0.78125,0.931640625,0.9087843321494007,0.6354166666666666
P00742,Coagulation/Fibrinogen,0.8125,0.5945945945945946,0.4782608695652174,0.7857142857142857,0.8484848484848484,0.523667928681895,0.5069870514206269
P0C0L4,Complement System,0.9125,0.9306930693069307,0.9038461538461539,0.9591836734693877,0.9423963133640553,0.9587485854777328,0.8149726708141022
P55056,Apolipoproteins,0.8125,0.8,0.75,0.8571428571428571,0.8920634920634921,0.8522505047671236,0.629940788348712
P01860,Immunoglobulins,0.8125,0.8571428571428571,0.8035714285714286,0.9183673469387755,0.8666886109282423,0.9070159827667538,0.5990943769903527
P02776,Coagulation/Fibrinogen,0.8375,0.7719298245614035,0.7333333333333333,0.8148148148148148,0.9259259259259259,0.9047637417126695,0.6484226233247262
P02787,Transport/Binding,0.775,0.8269230769230769,0.7962962962962963,0.86,0.8693333333333333,0.9295012866775608,0.5099205755334125
P02749,Transport/Binding,0.75,0.7619047619047619,0.7804878048780488,0.7441860465116279,0.8334380892520428,0.8836453794823598,0.499688091709405
Q14624,Protease/Inhibitors,0.8625,0.8952380952380953,0.8703703703703703,0.9215686274509803,0.9114266396213657,0.9427590367362845,0.6981204176412749
P07225,Coagulation/Fibrinogen,0.7375,0.6666666666666666,0.6363636363636364,0.7,0.8253333333333334,0.7593492058785005,0.4523739231479794
P02760,Transport/Binding,0.75,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.8370927318295739,0.8510436754974728,0.49874686716791977
P0DOX7,Immunoglobulins,0.9875,0.9333333333333333,0.875,1.0,1.0,1.0,0.9289853059279984
P0DJI8,Other/Mixed,0.75,0.6666666666666666,0.5405405405405406,0.8695652173913043,0.8127383676582761,0.5759567814073095,0.5186153680799266
P04264,Cytoskeletal,0.9,0.875,0.875,0.875,0.9404296875,0.9407597140684696,0.7916666666666666
P27169,Metabolic Enzymes,0.8,0.7894736842105263,0.8108108108108109,0.7692307692307693,0.8871169480925578,0.9074466494699126,0.6000018867828113
P03952,Protease/Inhibitors,0.85,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.935154707044108,0.9198859099326612,0.6840026333113891
P05154,Protease/Inhibitors,0.875,0.868421052631579,0.825,0.9166666666666666,0.9375,0.915375972202823,0.753778361444409
P00747,Protease/Inhibitors,0.7375,0.7469879518072289,0.7209302325581395,0.775,0.8390624999999999,0.874257889525509,0.47634160003570514
P01861,Immunoglobulins,0.8125,0.7457627118644068,0.7096774193548387,0.7857142857142857,0.9059065934065934,0.8712231867943789,0.5997983682889266
P00738,Transport/Binding,0.8125,0.7945205479452054,0.725,0.8787878787878788,0.9132817537072857,0.9067193624520559,0.634795895148782
P02746,Complement System,0.7625,0.7246376811594203,0.6756756756756757,0.78125,0.8717447916666667,0.8543561073074213,0.5219867283400679
P01764,Immunoglobulins,0.8,0.7647058823529411,0.65,0.9285714285714286,0.9309752747252747,0.8868352068575054,0.628970902033151
P00739,Transport/Binding,0.8125,0.8351648351648352,0.8260869565217391,0.8444444444444444,0.913015873015873,0.9367636905271018,0.6180350149186448
P60709,Cytoskeletal,0.8375,0.723404255319149,0.5862068965517241,0.9444444444444444,0.9516129032258065,0.8670354850910407,0.6522706457490226
P06396,Cytoskeletal,0.7125,0.780952380952381,0.7592592592592593,0.803921568627451,0.797160243407708,0.8903937295341436,0.3650212124048813
P10720,Coagulation/Fibrinogen,0.8625,0.6857142857142857,0.6,0.8,0.8923076923076922,0.7902277570842972,0.610170215847752
P02788,Transport/Binding,0.8875,0.7692307692307693,0.6818181818181818,0.8823529411764706,0.9477124183006536,0.8701244643640791,0.7065777780633692
P13645,Cytoskeletal,0.925,0.896551724137931,0.896551724137931,0.896551724137931,0.964841108857336,0.9477832900238938,0.8377281947261663
P06702,Other/Mixed,0.75,0.6296296296296297,0.4857142857142857,0.8947368421052632,0.9128559102674719,0.8159583383964337,0.514402188428806
P02747,Complement System,0.7625,0.7323943661971831,0.7027027027027027,0.7647058823529411,0.8328005115089513,0.8060155471546453,0.5210967365702063
P00740,Coagulation/Fibrinogen,0.8125,0.6808510638297872,0.64,0.7272727272727273,0.880485893416928,0.7891369886035896,0.5511200026657288
P01023,Transport/Binding,0.8875,0.918918918918919,0.85,1.0,0.9570655848546316,0.9697818364875893,0.7656414934887764
P01766,Immunoglobulins,0.85,0.8378378378378378,0.775,0.9117647058823529,0.8769181585677749,0.7971057718097141,0.7080104323938431
P08603,Complement System,0.675,0.74,0.6727272727272727,0.8222222222222222,0.8276190476190476,0.8869781834917297,0.3295718504629978
P01593,Immunoglobulins,0.65,0.3,0.2,0.6,0.6778571428571428,0.24337950937950936,0.17566201313073598
P02775,Coagulation/Fibrinogen,0.8875,0.8085106382978723,0.7916666666666666,0.8260869565217391,0.965675057208238,0.9262336247630366,0.7292465397807583
P07737,Cytoskeletal,0.8125,0.5454545454545454,0.4090909090909091,0.8181818181818182,0.8577075098814229,0.7006772649478781,0.48571517421984145
P06312,Immunoglobulins,0.6375,0.4727272727272727,0.34210526315789475,0.7647058823529411,0.8104575163398693,0.6575391179162264,0.3013596084334224
P04070,Coagulation/Fibrinogen,0.85,0.7272727272727273,0.6666666666666666,0.8,0.8879166666666667,0.8195804678413374,0.629940788348712
