Protein,Category,Pearson_r
P02768,Transport/Binding,0.7677770561567059
P01834,Immunoglobulins,0.7653878157599635
P04004,Transport/Binding,0.608988636435333
P02647,Apolipoproteins,0.549175360927977
P02649,Apolipoproteins,0.49838401680200106
P01008,Coagulation/Fibrinogen,0.6709452481448951
P01857,Immunoglobulins,0.6793935960156066
P02656,Apolipoproteins,0.6442510700458146
P10909,Transport/Binding,0.8086456490318642
P00734,Coagulation/Fibrinogen,0.7042104746769828
P02675,Coagulation/Fibrinogen,0.7189201440404193
P04196,Transport/Binding,0.7921661145897116
P02679,Coagulation/Fibrinogen,0.6215463629075256
P02652,Apolipoproteins,0.6672825123807871
P01042,Protease/Inhibitors,0.5694417372216667
P01024,Complement System,0.7190641047176328
P02671,Coagulation/Fibrinogen,0.466765761389533
P01871,Immunoglobulins,0.8808028277469813
P01009,Protease/Inhibitors,0.6172737904052497
P04003,Complement System,0.49160290078874685
P0DOY2,Immunoglobulins,0.7835253424602594
P02655,Apolipoproteins,0.8013632536160142
P02766,Transport/Binding,0.6315541849877427
P19823,Protease/Inhibitors,0.36677143027169545
P0DOY3,Immunoglobulins,0.5962217977228372
P01876,Immunoglobulins,0.6895425027792099
P35542,Other/Mixed,0.610435214037023
P01859,Immunoglobulins,0.3014181389767651
P06727,Apolipoproteins,0.43469195638454916
P68871,Other/Mixed,0.5505357695882569
P0C0L5,Complement System,0.38880838491565994
P02654,Apolipoproteins,0.4589071759831593
Q14520,Protease/Inhibitors,0.8778685630945391
P02743,Other/Mixed,0.5896474613586586
P01619,Immunoglobulins,0.5365975484643126
B9A064,Immunoglobulins,0.6337506855318304
P69905,Other/Mixed,0.3496416122200905
P19827,Protease/Inhibitors,0.28111618192482596
P04114,Apolipoproteins,0.2532644659420184
P03951,Coagulation/Fibrinogen,0.6906671034788898
P00742,Coagulation/Fibrinogen,0.6844193128217405
P0C0L4,Complement System,0.798879463726617
P55056,Apolipoproteins,0.5959637745948783
P01860,Immunoglobulins,0.30675879600941586
P02776,Coagulation/Fibrinogen,0.4670512811120948
P02787,Transport/Binding,0.38302312980693987
P02749,Transport/Binding,0.137541280215003
Q14624,Protease/Inhibitors,0.7704405490888531
P07225,Coagulation/Fibrinogen,0.5979380292686927
