Validation / Metric,Two-head gated,Two-head ungated,Single-task NN,Random Forest,XGBoost
Adsorption — Held-out,,,,,
Acc.,0.84,0.869,0.871,0.879,0.871
F1,0.734,0.788,0.786,0.792,0.75
Prec.,0.665,0.719,0.736,0.765,0.792
Recall,0.851,0.893,0.864,0.837,0.732
AUROC,0.906,0.938,0.932,0.929,0.912
AUPRC,0.837,0.885,0.877,0.867,0.852
MCC,0.597,0.673,0.67,0.683,0.629
Adsorption — Feature-grouped,,,,,
Acc.,0.813,0.808,0.816,0.834,0.833
F1,0.687,0.681,0.688,0.711,0.653
Prec.,0.636,0.631,0.655,0.719,0.737
Recall,0.789,0.784,0.765,0.731,0.62
AUROC,0.854,0.852,0.858,0.864,0.846
AUPRC,0.763,0.757,0.781,0.782,0.758
MCC,0.525,0.515,0.526,0.563,0.502
Adsorption — Relative drop (%),,,,,
Acc.,3.173,6.993,6.275,5.062,4.402
F1,6.459,13.58,12.396,10.255,12.979
Prec.,4.401,12.285,10.955,5.979,6.885
Recall,7.24,12.121,11.497,12.617,15.319
AUROC,5.687,9.177,7.978,6.934,7.234
AUPRC,8.862,14.534,10.997,9.871,11.078
MCC,12.06,23.51,21.536,17.63,20.179
Abundance — Held-out,,,,,
Median r,0.6,0.68,0.673,0.659,0.651
1-TVD,0.623,0.658,0.658,0.646,0.648
Cosine,0.758,0.802,0.806,0.794,0.801
Abundance — Feature-grouped,,,,,
Median r,0.533,0.523,0.517,0.527,0.494
1-TVD,0.592,0.586,0.584,0.584,0.572
Cosine,0.736,0.735,0.735,0.724,0.707
Abundance — Relative drop (%),,,,,
Median r,11.279,23.136,23.171,19.976,24.145
1-TVD,5.022,10.948,11.283,9.637,11.589
Cosine,2.921,8.444,8.712,8.846,11.669
